Date,Open,High,Low,Close,Adj Close,Volume,Clase
2011-09-12,33796.71875,33796.71875,33193.488281,33792.558594,33792.558594,129632400,0
2011-09-13,33792.558594,34114.871094,33443.449219,33947.621094,33947.621094,167711800,0
2011-09-14,33947.878906,34749.210938,33803.011719,34661.78125,34661.78125,178736000,0
2011-09-15,34673.710938,35188.078125,34673.710938,35181.441406,35181.441406,285059200,-1
2011-09-19,35183.128906,35183.128906,34681.03125,35076.960938,35076.960938,246549000,0
2011-09-20,35079.75,35269.351563,34337.789063,34337.96875,34337.96875,228400400,0
2011-09-21,34361.261719,34758.699219,34018.371094,34019.21875,34019.21875,229279800,0
2011-09-22,33994.019531,33994.019531,32077.900391000003,32381.060547000005,32381.060547000005,346705400,1
2011-09-23,32380.050781,32655.810547000005,32108.650391000003,32588.429688,32588.429688,280487000,0
2011-09-26,32599.960938,33526.878906,32568.730469,33385.941406,33385.941406,454237200,-1
2011-09-27,33391.21875,34490.808594,33391.21875,33783.679688,33783.679688,304890600,1
2011-09-28,33784.128906,34077.570313,33338.25,33438.160156,33438.160156,251182200,-1
2011-09-29,33471.011719,34182.820313,33471.011719,33686.160156,33686.160156,277333400,0
2011-09-30,33686.160156,33759.421875,32895.96875,33503.28125,33503.28125,324165800,0
2011-10-03,33504.601563,33574.789063,32876.671875,33133.878906,33133.878906,295803600,1
2011-10-04,33132.5,33132.5,32258.390625,32966.230469,32966.230469,478428800,0
2011-10-05,33023.828125,33288.851563,32820.78125,33000.289063,33000.289063,315104400,0
2011-10-06,33000.289063,33433.25,32754.679688,33279.71875,33279.71875,295096200,0
2011-10-07,33296.148438,33617.769531,32811.351563,33005.089844,33005.089844,294795200,0
2011-10-10,33035.679688,33735.078125,33026.96875,33547.238281,33547.238281,160623000,0
2011-10-11,33547.371094,33892.449219,33364.890625,33681.800781,33681.800781,171610800,0
2011-10-12,33685.679688,34585.570313,33684.410156,34470.359375,34470.359375,361344000,0
2011-10-13,34449.238281,34648.359375,34152.351563,34584.75,34584.75,302297600,-1
2011-10-14,34585.050781,35047.421875,34585.050781,34848.421875,34848.421875,269946400,1
2011-10-17,34848.421875,34848.859375,34056.390625,34125.699219,34125.699219,221052600,0
2011-10-18,34126.578125,35052.398438,34012.25,35011.710938,35011.710938,273721000,-1
2011-10-19,35012.371094,35089.238281,34407.570313,34523.269531,34523.269531,223573800,1
2011-10-20,34523.269531,34736.160156,34210.789063,34395.5,34395.5,239422800,0
2011-10-21,34393.78125,35111.351563,34392.308594,35020.738281,35020.738281,207993000,0
2011-10-24,35024.558594,35583.460938,34883.988281,35265.558594,35265.558594,201861800,0
2011-10-25,35266.191406,35373.488281,35027.078125,35290.148438,35290.148438,206840600,0
2011-10-26,35290.539063,36012.429688,35238.800781,35818.578125,35818.578125,265403200,0
2011-10-27,35844.851563,37010.96875,35844.851563,36727.210938,36727.210938,389285400,-1
2011-10-28,36727.210938,37169.730469,36360.921875,36708.640625,36708.640625,312206400,0
2011-10-31,36707.480469,37334.148438,36159.988281,36159.988281,36159.988281,248382400,1
2011-11-01,36162.210938,36162.210938,35174.101563,35742.570313,35742.570313,245573400,0
2011-11-03,35756.230469,36686.859375,35756.230469,36579.070313,36579.070313,288832600,0
2011-11-04,36579.070313,36714.671875,36389.238281,36689.378906,36689.378906,243881600,-1
2011-11-07,36711.25,37137.511719,36514.019531,37024.609375,37024.609375,218819600,0
2011-11-08,37044.78125,37352.101563,36948.160156,37351.808594,37351.808594,210905200,0
2011-11-09,37342.128906,37342.128906,36552.140625,36553.851563,36553.851563,246665000,1
2011-11-10,36542.378906,36951.960938,36542.378906,36615.070313,36615.070313,385610400,0
2011-11-11,36626.898438,37555.648438,36626.898438,37555.648438,37555.648438,448236600,0
2011-11-14,37553.46875,37560.800781,36936.960938,37069.898438,37069.898438,159764400,-1
2011-11-15,37071.898438,37377.328125,36893.308594,37293.378906,37293.378906,262590400,0
2011-11-16,37291.789063,37291.789063,36678.878906,36708.410156,36708.410156,210794200,0
2011-11-17,36708.410156,36954.25,36082.511719,36110.679688,36110.679688,210637800,0
2011-11-18,36116.921875,36556.339844,36016.300781,36284.199219,36284.199219,148378000,0
2011-11-22,36286.820313,36286.820313,35601.46875,35969.609375,35969.609375,179855000,0
2011-11-23,35969.609375,35969.609375,35287.789063,35375.609375,35375.609375,185674000,0
2011-11-24,35375.519531,35649.371094,35280.589844,35323.601563,35323.601563,46874000,1
2011-11-25,35335.75,35688.871094,34573.039063,34573.039063,34573.039063,154283600,-1
2011-11-28,34574.539063,35960.71875,34574.539063,35558.179688,35558.179688,220604600,0
